奈 5250 
奉 8498 
奋 20590 
奎 1590 
奏 7220 
契 8367 
奔 10506 
奕 2311 
奖 80864 
套 46957 
奘 231 
奚 349 
奠 4279 
奢 3845 
奥 49992 
女 182672 
奴 1048 
奶 19633 
奸 3314 
她 110807 
好 312948 
妁 9 
如 229576 
妃 1220 
妄 1091 
妆 5446 
妇 30706 
妈 36637 
妊 1105 
妍 1403 
妒 285 
妓 169 
妖 1203 
妗 6 
妙 5635 
妞 596 
妣 2 
妤 119 
妥 7188 
妨 3757 
妩 104 
妪 46 
妫 36 
妮 2770 
妯 29 
妲 463 
妹 11320 
妻 22603 
妾 99 
姆 8915 
姊 270 
始 95827 
姐 17125 
姑 6379 
姒 25 
姓 25184 
委 295399 
姗 823 
姘 19 
姚 6775 
姜 6574 
姝 932 
姣 476 
姥 1076 
姨 3899 
姬 765 
姹 58 
姻 5746 
姿 5231 
威 35261 
娃 7739 
娄 4250 
娅 1444 
娆 78 
娇 2171 
娈 13 
娉 77 
娌 29 
娑 60 
娓 457 
娘 8555 
娜 7770 
娟 4779 
娠 1063 
娣 266 
娥 1382 
娩 1009 
娱 10308 
娲 42 
娴 878 
娶 1160 
娼 823 
婀 102 
婆 11332 
婉 1790 
婊 58 
婕 539 
婚 36934 
婢 29 
婧 1344 
婪 210 
婴 10176 
婵 354 
婶 258 
婷 7221 
婺 365 
婿 1137 
媒 81814 
媚 1035 
媛 3038 
媪 1 
媲 408 
媳 3178 
媵 3 
媸 1 
媾 5 
嫁 3396 
嫂 1650 
嫉 278 
嫌 48689 
嫒 72 
嫔 99 
嫖 1454 
嫘 113 
嫡 119 
嫣 382 
嫦 644 
嫩 1940 
嫫 11 
嫱 34 
嬉 739 
嬖 2 
嬗 134 
嬴 35 
嬷 95 
孀 66 
子 392032 
孑 58 
孓 7 
孔 9044 
孕 12621 
字 65218 
存 89193 
孙 28477 
孚 632 
孛 14 
孜 1861 
孝 7665 
孟 6868 
孢 129 
季 43847 
孤 7025 
学 614381 
孩 108408 
孪 80 
孬 46 
孰 337 
孱 50 
孳 136 
孵 7273 
孺 149 
孽 103 
宀 1 
宁 56348 
它 39448 
宄 1 
宅 16188 
宇 16059 
守 45201 
安 402822 
宋 13581 
完 160327 
宏 16838 
宓 48 
宕 449 
宗 23998 
官 89774 
宙 1967 
定 383547 
宛 871 
宜 28334 
宝 67730 
实 546313 
宠 3522 
审 104957 
客 158332 
宣 79612 
室 61602 
宥 64 
宦 132 
宪 8259 
宫 16293 
宰 2209 
害 64023 
宴 8162 
宵 4272 
家 690233 
宸 363 
容 89150 
宽 20488 
宾 27092 
宿 13942 
寂 1464 
寄 8957 
寅 337 
密 46277 
寇 609 
富 56507 
寐 305 
寒 14316 
寓 6024 
寝 898 
寞 765 
察 98173 
寡 1298 
寤 5 
寥 980 
寨 12196 
寮 567 
寰 311 
寸 4141 
对 660855 
寺 7558 
寻 28599 
导 219183 
寿 10816 
封 20556 
射 29947 
将 437081 
尉 376 
尊 15959 
小 377175 
少 152092 
尔 80213 
尕 134 
尖 8822 
尘 6050 
尚 30446 
尜 15 
尝 10655 
尤 21144 
尥 2 
尧 1151 
尬 2772 
就 393422 
尴 2772 
尸 6057 
尹 4399 
尺 4978 
尻 47 
